approach,variant,distance_metric,policy,enrollment_samples,test_accuracy,far,frr,eer,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,balanced_error,roc_auc,notes,far_percent,frr_percent,balanced_error_percent,eer_percent
embedding_based_verification,mean_template_20_enrollment_samples,euclidean,global,20,,0.0090931372549019,0.234313725490196,0.0720906862745097,1855,956,4080,204000,0.0545,0.7375,0.0090931372549019,0.2343137254901961,0.121703431372549,0.977066649846213,Шаблон построен по ограниченному числу enrollment samples.,0.90931372549019,23.4313725490196,12.1703431372549,7.20906862745097
embedding_based_verification,mean_template_30_enrollment_samples,euclidean,global,30,,0.0092598039215686,0.2264705882352941,0.0709019607843137,1889,924,4080,204000,0.044,0.7125,0.0092598039215686,0.2264705882352941,0.1178651960784313,0.9777165062716262,Шаблон построен по ограниченному числу enrollment samples.,0.92598039215686,22.64705882352941,11.786519607843129,7.09019607843137
embedding_based_verification,mean_template_50_enrollment_samples,euclidean,global,50,,0.0095441176470588,0.2203431372549019,0.0713333333333333,1947,899,4080,204000,0.05025,0.6625,0.0095441176470588,0.2203431372549019,0.1149436274509803,0.9775691152441368,Шаблон построен по ограниченному числу enrollment samples.,0.9544117647058801,22.03431372549019,11.49436274509803,7.13333333333333
embedding_based_verification,mean_template_full_train_256_samples,euclidean,global,256,,0.0093382352941176,0.2139705882352941,,1905,873,4080,204000,0.05075,0.675,0.0093382352941176,0.2139705882352941,0.1116544117647058,,Шаблон построен по всем 256 train samples пользователя.,0.9338235294117601,21.39705882352941,11.16544117647058,
embedding_based_verification,mean_template_5_enrollment_samples,euclidean,guarded,5,,0.0084166666666666,0.3014705882352941,0.0874877450980392,1717,1230,4080,204000,0.036,0.7875,0.0084166666666666,0.3014705882352941,0.1549436274509804,0.9703560661764709,Шаблон построен по ограниченному числу enrollment samples.,0.84166666666666,30.14705882352941,15.494362745098039,8.74877450980392
embedding_based_verification,mean_template_10_enrollment_samples,euclidean,guarded,10,,0.0088627450980392,0.2524509803921568,0.0764632352941176,1808,1030,4080,204000,0.051,0.675,0.0088627450980392,0.2524509803921568,0.130656862745098,0.974436063052672,Шаблон построен по ограниченному числу enrollment samples.,0.88627450980392,25.24509803921568,13.0656862745098,7.6463235294117595
embedding_based_verification,mean_template_20_enrollment_samples,euclidean,guarded,20,,0.0084705882352941,0.2357843137254902,0.0720906862745097,1728,962,4080,204000,0.0545,0.7375,0.0084705882352941,0.2357843137254902,0.1221274509803921,0.977066649846213,Шаблон построен по ограниченному числу enrollment samples.,0.84705882352941,23.57843137254902,12.21274509803921,7.20906862745097
embedding_based_verification,mean_template_30_enrollment_samples,euclidean,guarded,30,,0.0088186274509803,0.2267156862745098,0.0709019607843137,1799,925,4080,204000,0.044,0.7125,0.0088186274509803,0.2267156862745098,0.1177671568627451,0.9777165062716262,Шаблон построен по ограниченному числу enrollment samples.,0.8818627450980301,22.67156862745098,11.77671568627451,7.09019607843137
embedding_based_verification,mean_template_50_enrollment_samples,euclidean,guarded,50,,0.0092058823529411,0.2203431372549019,0.0713333333333333,1878,899,4080,204000,0.05025,0.6625,0.0092058823529411,0.2203431372549019,0.1147745098039215,0.9775691152441368,Шаблон построен по ограниченному числу enrollment samples.,0.92058823529411,22.03431372549019,11.477450980392149,7.13333333333333
embedding_based_verification,mean_template_full_train_256_samples,euclidean,guarded,256,,0.0088774509803921,0.2142156862745098,,1811,874,4080,204000,0.05075,0.675,0.0088774509803921,0.2142156862745098,0.1115465686274509,,Шаблон построен по всем 256 train samples пользователя.,0.88774509803921,21.42156862745098,11.154656862745089,
