enrollment_samples,split,distance_metric,policy,threshold_source,target_far,users_count,samples_count,genuine_trials,impostor_trials,genuine_accepts,genuine_rejects,impostor_accepts,impostor_rejects,far,frr,balanced_error,mean_user_far,mean_user_frr,max_user_far,max_user_frr,guarded_users_count,roc_auc,eer,eer_threshold,far_at_eer_threshold,frr_at_eer_threshold,genuine_distance_mean,impostor_distance_mean,separation_margin
10,validation,euclidean,guarded,validation,0.01,51,3264,3264,163200,2469,795,1550,161650,0.009497549019607842,0.24356617647058823,0.12653186274509803,0.009497549019607842,0.24356617647058823,0.0471875,0.71875,2,0.9765942767655469,0.07511948529411766,9.487494468688965,0.07517769607843137,0.07506127450980393,6.379599189677951,13.008323733172581,6.62872454349463
10,test,euclidean,guarded,validation,0.01,51,4080,4080,204000,3050,1030,1808,202192,0.008862745098039216,0.25245098039215685,0.13065686274509802,0.008862745098039216,0.25245098039215685,0.051,0.675,2,0.974436063052672,0.07646323529411762,9.533859252929688,0.07645588235294118,0.07647058823529407,6.45095474579755,13.077816955347856,6.626862209550306
10,validation,cosine,global,validation,0.01,51,3264,3264,163200,2667,597,1632,161568,0.01,0.18290441176470587,0.09645220588235294,0.01,0.18290441176470587,0.0371875,0.59375,0,0.9855687368965663,0.060297181372549,0.25913363695144653,0.0602389705882353,0.0603553921568627,0.11687279879754665,0.47436530584177256,0.3574925070442259
10,test,cosine,global,validation,0.01,51,4080,4080,204000,3321,759,1990,202010,0.009754901960784313,0.1860294117647059,0.0978921568627451,0.009754901960784315,0.1860294117647059,0.03675,0.5625,0,0.9852615532487505,0.05802450980392158,0.257230281829834,0.05796078431372549,0.05808823529411766,0.11753476129150858,0.47539632874610377,0.3578615674545952
10,validation,cosine,per_user,validation,0.01,51,3264,3264,163200,2752,512,1632,161568,0.01,0.1568627450980392,0.08343137254901961,0.01,0.1568627450980392,0.01,0.5625,0,0.9855687368965663,0.060297181372549,0.25913363695144653,0.0602389705882353,0.0603553921568627,0.11687279879754665,0.47436530584177256,0.3574925070442259
10,test,cosine,per_user,validation,0.01,51,4080,4080,204000,3431,649,1981,202019,0.00971078431372549,0.15906862745098038,0.08438970588235294,0.00971078431372549,0.1590686274509804,0.015,0.5625,0,0.9852615532487505,0.05802450980392158,0.257230281829834,0.05796078431372549,0.05808823529411766,0.11753476129150858,0.47539632874610377,0.3578615674545952
10,validation,cosine,guarded,validation,0.01,51,3264,3264,163200,2665,599,1557,161643,0.009540441176470588,0.18351715686274508,0.09652879901960784,0.009540441176470588,0.18351715686274508,0.0371875,0.59375,2,0.9855687368965663,0.060297181372549,0.25913363695144653,0.0602389705882353,0.0603553921568627,0.11687279879754665,0.47436530584177256,0.3574925070442259
10,test,cosine,guarded,validation,0.01,51,4080,4080,204000,3321,759,1906,202094,0.00934313725490196,0.1860294117647059,0.09768627450980392,0.009343137254901962,0.1860294117647059,0.03675,0.5625,2,0.9852615532487505,0.05802450980392158,0.257230281829834,0.05796078431372549,0.05808823529411766,0.11753476129150858,0.47539632874610377,0.3578615674545952
10,validation,manhattan,global,validation,0.01,51,3264,3264,163200,2464,800,1632,161568,0.01,0.24509803921568626,0.12754901960784312,0.01,0.24509803921568626,0.0384375,0.75,0,0.9818155079701917,0.06742340686274509,40.870277404785156,0.06744485294117647,0.06740196078431371,26.844051169852417,57.68976483848749,30.845713668635074
10,test,manhattan,global,validation,0.01,51,4080,4080,204000,3084,996,1880,202120,0.009215686274509804,0.24411764705882352,0.12666666666666665,0.009215686274509803,0.24411764705882355,0.03475,0.775,0,0.9796036374231065,0.06914215686274508,41.068511962890625,0.06916666666666667,0.0691176470588235,27.056303123633068,57.92107280806934,30.864769684436272
10,validation,manhattan,per_user,validation,0.01,51,3264,3264,163200,2639,625,1632,161568,0.01,0.19148284313725492,0.10074142156862746,0.01,0.19148284313725492,0.01,0.5625,0,0.9818155079701917,0.06742340686274509,40.870277404785156,0.06744485294117647,0.06740196078431371,26.844051169852417,57.68976483848749,30.845713668635074
10,test,manhattan,per_user,validation,0.01,51,4080,4080,204000,3292,788,1876,202124,0.009196078431372549,0.1931372549019608,0.10116666666666667,0.00919607843137255,0.19313725490196076,0.01425,0.625,0,0.9796036374231065,0.06914215686274508,41.068511962890625,0.06916666666666667,0.0691176470588235,27.056303123633068,57.92107280806934,30.864769684436272
10,validation,manhattan,guarded,validation,0.01,51,3264,3264,163200,2464,800,1518,161682,0.009301470588235295,0.24509803921568626,0.12719975490196078,0.009301470588235295,0.24509803921568626,0.0384375,0.75,2,0.9818155079701917,0.06742340686274509,40.870277404785156,0.06744485294117647,0.06740196078431371,26.844051169852417,57.68976483848749,30.845713668635074
10,test,manhattan,guarded,validation,0.01,51,4080,4080,204000,3083,997,1739,202261,0.008524509803921568,0.2443627450980392,0.1264436274509804,0.008524509803921568,0.24436274509803924,0.03375,0.775,2,0.9796036374231065,0.06914215686274508,41.068511962890625,0.06916666666666667,0.0691176470588235,27.056303123633068,57.92107280806934,30.864769684436272
20,validation,euclidean,global,validation,0.01,51,3264,3264,163200,2549,715,1632,161568,0.01,0.2190563725490196,0.11452818627450981,0.010000000000000002,0.2190563725490196,0.04875,0.640625,0,0.978839603645533,0.07076286764705883,9.411791801452637,0.07075367647058824,0.07077205882352944,6.2021834581871245,13.015398276576809,6.813214818389684
20,test,euclidean,global,validation,0.01,51,4080,4080,204000,3124,956,1855,202145,0.00909313725490196,0.23431372549019608,0.12170343137254902,0.00909313725490196,0.2343137254901961,0.0545,0.7375,0,0.977066649846213,0.07209068627450979,9.456096649169922,0.07212254901960784,0.07205882352941173,6.268724779784679,13.082603939885018,6.813879160100339
20,validation,euclidean,per_user,validation,0.01,51,3264,3264,163200,2741,523,1632,161568,0.01,0.16023284313725492,0.08511642156862746,0.01,0.16023284313725492,0.01,0.515625,0,0.978839603645533,0.07076286764705883,9.411791801452637,0.07075367647058824,0.07077205882352944,6.2021834581871245,13.015398276576809,6.813214818389684
20,test,euclidean,per_user,validation,0.01,51,4080,4080,204000,3360,720,1874,202126,0.00918627450980392,0.17647058823529413,0.09282843137254902,0.009186274509803923,0.17647058823529407,0.01375,0.5125,0,0.977066649846213,0.07209068627450979,9.456096649169922,0.07212254901960784,0.07205882352941173,6.268724779784679,13.082603939885018,6.813879160100339
20,validation,euclidean,guarded,validation,0.01,51,3264,3264,163200,2545,719,1504,161696,0.009215686274509804,0.22028186274509803,0.11474877450980392,0.009215686274509803,0.22028186274509803,0.04875,0.640625,4,0.978839603645533,0.07076286764705883,9.411791801452637,0.07075367647058824,0.07077205882352944,6.2021834581871245,13.015398276576809,6.813214818389684
