user_id,genuine_trials,genuine_accepts,genuine_rejects,frr,impostor_trials,impostor_accepts,impostor_rejects,far,genuine_score_min,genuine_score_p05,genuine_score_median,genuine_score_mean,genuine_score_p95,impostor_score_min,impostor_score_p95,impostor_score_p99,impostor_score_max,auth_threshold
s044,80,79,1,0.0125,4000,32,3968,0.008,0.043924760073423386,0.5383481979370117,0.9778931736946106,0.8978182673454285,0.9985217452049255,4.94896871828512e-15,0.0023248661309480667,0.04425428807735443,0.7091140151023865,0.0586082898080349
s038,80,79,1,0.0125,4000,26,3974,0.0065,0.012541609816253185,0.1267806589603424,0.9817720651626587,0.8534916043281555,0.9988090991973877,1.9626481836216778e-14,0.0019980280194431543,0.02943173609673977,0.6707425117492676,0.0586082898080349
s019,80,79,1,0.0125,4000,11,3989,0.00275,0.05427689477801323,0.9074880480766296,0.9948281049728394,0.9644352197647095,0.9991454482078552,3.490481532891017e-15,0.001599159324541688,0.015492920763790607,0.47819849848747253,0.0586082898080349
s043,80,79,1,0.0125,4000,7,3993,0.00175,0.03154946491122246,0.9661622047424316,0.9980570673942566,0.9729452133178711,0.9994569420814514,3.9864991563636886e-16,0.0011894095223397017,0.014205198734998703,0.17253409326076508,0.0586082898080349
s050,80,80,0,0.0,4000,50,3950,0.0125,0.11259599775075912,0.28527721762657166,0.9759001731872559,0.8528728485107422,0.998930037021637,5.770771095139557e-14,0.008757266215980053,0.0688876360654831,0.9160827994346619,0.0586082898080349
s027,80,80,0,0.0,4000,45,3955,0.01125,0.4756891131401062,0.9460341930389404,0.9957636594772339,0.9824553728103638,0.9998500347137451,1.1636773681022441e-15,0.002233348321169615,0.07042589038610458,0.860623300075531,0.0586082898080349
s041,80,80,0,0.0,4000,38,3962,0.0095,0.17676983773708344,0.39681801199913025,0.9744881987571716,0.9020737409591675,0.9986591339111328,1.4309073023688335e-11,0.0035197478719055653,0.05009819194674492,0.9450241327285767,0.0586082898080349
s025,80,80,0,0.0,4000,36,3964,0.009,0.12318834662437439,0.7996854782104492,0.9883469343185425,0.947790265083313,0.9979690909385681,4.742235385317123e-17,0.0015565722715109587,0.04802694916725159,0.8101156949996948,0.0586082898080349
s039,80,80,0,0.0,4000,34,3966,0.0085,0.14035548269748688,0.45280441641807556,0.9919808506965637,0.9143608212471008,0.9992824792861938,7.604988437529393e-16,0.0023345407098531723,0.04954460263252258,0.3921634554862976,0.0586082898080349
s040,80,80,0,0.0,4000,31,3969,0.00775,0.256783664226532,0.678035318851471,0.9870153665542603,0.9412468671798706,0.9988741278648376,1.4048008633096853e-12,0.002591670025140047,0.04553638771176338,0.9980030655860901,0.0586082898080349
s010,80,80,0,0.0,4000,25,3975,0.00625,0.1417367160320282,0.5502811670303345,0.9902054071426392,0.9342107772827148,0.9987295866012573,1.9723206637774308e-19,0.0023738155141472816,0.026940174400806427,0.5682976841926575,0.0586082898080349
s017,80,80,0,0.0,4000,24,3976,0.006,0.3851762115955353,0.8545278310775757,0.9938586354255676,0.9594414830207825,0.9993636012077332,3.118390970590517e-16,0.0031018329318612814,0.0301202442497015,0.651132345199585,0.0586082898080349
s053,80,80,0,0.0,4000,20,3980,0.005,0.30675849318504333,0.6523438096046448,0.9986748695373535,0.9487693905830383,0.9999324083328247,5.760434582677623e-14,0.0016280257841572165,0.027342088520526886,0.4318157732486725,0.0586082898080349
s049,80,80,0,0.0,4000,17,3983,0.00425,0.12292392551898956,0.6489450335502625,0.9825574159622192,0.916547954082489,0.9987655282020569,3.1850946828378954e-17,0.0008572514052502811,0.018809456378221512,0.9583770036697388,0.0586082898080349
s042,80,80,0,0.0,4000,16,3984,0.004,0.4351235628128052,0.935082733631134,0.9978550672531128,0.9811252355575562,0.9996206760406494,1.9594142680773425e-18,0.001545158913359046,0.023512201383709908,0.3822150230407715,0.0586082898080349
s036,80,80,0,0.0,4000,15,3985,0.00375,0.6930748224258423,0.9673411846160889,0.999406099319458,0.9903793334960938,0.9999685883522034,6.5138426065796534e-15,0.0004299996653571725,0.01066229771822691,0.9396151900291443,0.0586082898080349
s024,80,80,0,0.0,4000,14,3986,0.0035,0.2679538428783417,0.48664435744285583,0.970604419708252,0.9108578562736511,0.9952811598777771,1.3631089668721795e-18,0.0009577611344866455,0.015322024002671242,0.7789732813835144,0.0586082898080349
s028,80,80,0,0.0,4000,13,3987,0.00325,0.3380068242549896,0.8201908469200134,0.9916280508041382,0.9500950574874878,0.9986980557441711,2.6636685326370977e-15,0.0011961869895458221,0.01610935851931572,0.7812130451202393,0.0586082898080349
s022,80,80,0,0.0,4000,7,3993,0.00175,0.37527939677238464,0.8094998598098755,0.9934958219528198,0.9632217288017273,0.99920654296875,6.051400310344958e-16,0.0005470617325045168,0.008419006131589413,0.39705488085746765,0.0586082898080349
s052,80,80,0,0.0,4000,6,3994,0.0015,0.08625155687332153,0.915557324886322,0.9991596937179565,0.965162456035614,0.999859094619751,1.006904402114624e-14,0.00028617700445465744,0.005088836885988712,0.29614001512527466,0.0586082898080349
