user_id,target_far,global_threshold,individual_threshold,threshold_delta,global_far,global_frr,global_genuine_rejects,global_impostor_accepts,individual_far,individual_frr,individual_genuine_rejects,individual_impostor_accepts,genuine_trials,impostor_trials,genuine_score_median,genuine_score_mean,impostor_score_p99,impostor_score_max,diagnostic_group
s019,0.01,0.0586082898080349,0.015491855330765247,-0.04311643447726965,0.00275,0.0125,1,11,0.01025,0.0,0,41,80,4000,0.9948281049728394,0.9644352197647095,0.015492920763790607,0.47819849848747253,acceptable
s043,0.01,0.0586082898080349,0.014205035753548145,-0.04440325405448675,0.00175,0.0125,1,7,0.01025,0.0,0,41,80,4000,0.9980570673942566,0.9729452133178711,0.014205198734998703,0.17253409326076508,acceptable
s022,0.01,0.0586082898080349,0.00841642264276743,-0.05019186716526747,0.00175,0.0,0,7,0.01025,0.0,0,41,80,4000,0.9934958219528198,0.9632217288017273,0.008419006131589413,0.39705488085746765,acceptable
s052,0.01,0.0586082898080349,0.005086150486022234,-0.05352213932201266,0.0015,0.0,0,6,0.01025,0.0,0,41,80,4000,0.9991596937179565,0.965162456035614,0.005088836885988712,0.29614001512527466,acceptable
s007,0.01,0.0586082898080349,0.1894816756248474,0.13087338581681252,0.029,0.05,4,116,0.01025,0.1125,9,41,80,4000,0.755254864692688,0.6606334447860718,0.18950776755809784,0.8544445633888245,high_far
s037,0.01,0.0586082898080349,0.14835421741008759,0.08974592760205269,0.02525,0.0125,1,101,0.01025,0.0375,3,41,80,4000,0.9062029123306274,0.7934494614601135,0.14842166006565094,0.9448527693748474,high_far
s031,0.01,0.0586082898080349,0.13257895410060883,0.07397066429257393,0.019,0.025,2,76,0.01025,0.1,8,41,80,4000,0.8467140793800354,0.67496258020401,0.132611945271492,0.8765164613723755,high_far
s034,0.01,0.0586082898080349,0.10214483737945557,0.04353654757142067,0.0165,0.0125,1,66,0.01025,0.05,4,41,80,4000,0.9685442447662354,0.8238424062728882,0.10223089158535004,0.9045024514198303,high_far
s002,0.01,0.0586082898080349,0.10349487513303757,0.04488658532500267,0.018,0.075,6,72,0.01025,0.0875,7,41,80,4000,0.8147144317626953,0.7141159772872925,0.10351020842790604,0.7284664511680603,high_far_and_high_frr
s032,0.01,0.0586082898080349,0.10624665021896362,0.047638360410928726,0.0175,0.075,6,70,0.01025,0.0875,7,41,80,4000,0.7194869518280029,0.6165254712104797,0.10626247525215149,0.6704948544502258,high_far_and_high_frr
s054,0.01,0.0586082898080349,0.08839332312345505,0.02978503331542015,0.01675,0.075,6,67,0.01025,0.0875,7,41,80,4000,0.833840548992157,0.6866427659988403,0.08841683715581894,0.9817186594009399,high_far_and_high_frr
s051,0.01,0.0586082898080349,0.11725197732448578,0.05864368751645088,0.0165,0.0625,5,66,0.01025,0.075,6,41,80,4000,0.8864682912826538,0.7540987730026245,0.11726411432027817,0.9668721556663513,high_far_and_high_frr
s008,0.01,0.0586082898080349,0.0921747237443924,0.0335664339363575,0.0155,0.0625,5,62,0.01025,0.075,6,41,80,4000,0.8398934602737427,0.711023211479187,0.09220543503761292,0.7150585651397705,high_far_and_high_frr
s048,0.01,0.0586082898080349,0.0798744484782219,0.021266158670186996,0.0115,0.075,6,46,0.01025,0.0875,7,41,80,4000,0.9269956350326538,0.7864430546760559,0.07987895607948303,0.8925089836120605,high_frr
s018,0.01,0.0586082898080349,0.061574697494506836,0.002966407686471939,0.0105,0.075,6,42,0.01025,0.075,6,41,80,4000,0.9453951120376587,0.7636144757270813,0.06159938499331474,0.5739105939865112,high_frr
s004,0.01,0.0586082898080349,0.04542815685272217,-0.013180132955312729,0.00825,0.0625,5,33,0.01025,0.0625,5,41,80,4000,0.8974460959434509,0.786921501159668,0.045440275222063065,0.9750349521636963,high_frr
s011,0.01,0.0586082898080349,0.043330077081918716,-0.01527821272611618,0.0075,0.0625,5,30,0.01025,0.0625,5,41,80,4000,0.985206127166748,0.7959195971488953,0.04333249107003212,0.650545597076416,high_frr
