threshold,far,frr,abs_far_frr_delta
0.314,0.002803921568627451,0.11960784313725491,0.11680392156862746
0.315,0.0027794117647058822,0.12009803921568628,0.1173186274509804
0.316,0.0027647058823529413,0.12009803921568628,0.11733333333333333
0.317,0.0027598039215686273,0.12009803921568628,0.11733823529411765
0.318,0.00275,0.12083333333333333,0.11808333333333333
0.319,0.0027401960784313724,0.1213235294117647,0.11858333333333333
0.32,0.0027254901960784314,0.12156862745098039,0.11884313725490196
0.321,0.002715686274509804,0.12181372549019608,0.11909803921568628
0.322,0.0027058823529411765,0.12254901960784313,0.11984313725490195
0.323,0.002696078431372549,0.12279411764705882,0.12009803921568626
0.324,0.002681372549019608,0.12279411764705882,0.12011274509803921
0.325,0.002642156862745098,0.1230392156862745,0.1203970588235294
0.326,0.002637254901960784,0.1230392156862745,0.12040196078431371
0.327,0.0026176470588235292,0.12377450980392157,0.12115686274509804
0.328,0.0026078431372549018,0.12401960784313726,0.12141176470588236
0.329,0.0025882352941176473,0.12426470588235294,0.1216764705882353
0.33,0.0025637254901960784,0.12450980392156863,0.12194607843137255
0.331,0.002553921568627451,0.125,0.12244607843137255
0.332,0.0025294117647058825,0.12524509803921569,0.12271568627450981
0.333,0.0025294117647058825,0.12524509803921569,0.12271568627450981
0.334,0.0025294117647058825,0.12549019607843137,0.1229607843137255
0.335,0.0025098039215686275,0.12549019607843137,0.12298039215686274
0.336,0.002495098039215686,0.12598039215686274,0.12348529411764705
0.337,0.0024901960784313726,0.12622549019607843,0.12373529411764705
0.338,0.002480392156862745,0.1267156862745098,0.12423529411764705
0.339,0.002480392156862745,0.12720588235294117,0.12472549019607843
0.34,0.00246078431372549,0.1281862745098039,0.12572549019607843
0.341,0.0024558823529411767,0.1281862745098039,0.12573039215686274
0.342,0.0024362745098039217,0.1284313725490196,0.12599509803921569
0.343,0.002416666666666667,0.12941176470588237,0.1269950980392157
0.34400000000000003,0.002411764705882353,0.12990196078431374,0.12749019607843137
0.34500000000000003,0.0024019607843137254,0.12990196078431374,0.1275
0.34600000000000003,0.002392156862745098,0.13014705882352942,0.12775490196078432
0.34700000000000003,0.0023872549019607844,0.13014705882352942,0.12775980392156863
0.34800000000000003,0.002377450980392157,0.13014705882352942,0.12776960784313726
0.34900000000000003,0.0023676470588235294,0.1303921568627451,0.12802450980392158
0.35000000000000003,0.002357843137254902,0.1303921568627451,0.1280343137254902
0.35100000000000003,0.0023333333333333335,0.13088235294117648,0.12854901960784315
0.352,0.0023284313725490196,0.13161764705882353,0.12928921568627452
0.353,0.0023088235294117646,0.13161764705882353,0.12930882352941178
0.354,0.0022892156862745097,0.13186274509803922,0.1295735294117647
0.355,0.0022794117647058822,0.1321078431372549,0.129828431372549
0.356,0.0022794117647058822,0.1321078431372549,0.129828431372549
0.357,0.0022549019607843138,0.13308823529411765,0.13083333333333333
0.358,0.0022549019607843138,0.13333333333333333,0.13107843137254901
0.359,0.0022549019607843138,0.1340686274509804,0.13181372549019607
0.36,0.0022450980392156863,0.13455882352941176,0.13231372549019607
0.361,0.002235294117647059,0.13504901960784313,0.13281372549019607
0.362,0.002220588235294118,0.1355392156862745,0.1333186274509804
0.363,0.002200980392156863,0.13651960784313724,0.1343186274509804
